
2023/07/26 (02:29:43) | ===> btop++ v.1.2.13
2023/07/26 (02:29:43) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (02:31:19) | ===> btop++ v.1.2.13
2023/07/26 (02:31:19) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (02:33:37) | ===> btop++ v.1.2.13
2023/07/26 (02:33:37) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (02:34:29) | ===> btop++ v.1.2.13
2023/07/26 (02:34:29) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (02:54:35) | ===> btop++ v.1.2.13
2023/07/26 (02:54:35) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (02:56:16) | ===> btop++ v.1.2.13
2023/07/26 (02:56:16) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:07:51) | ===> btop++ v.1.2.13
2023/07/26 (03:07:51) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:10:56) | ===> btop++ v.1.2.13
2023/07/26 (03:10:56) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:33:43) | ===> btop++ v.1.2.13
2023/07/26 (03:33:43) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:33:56) | ===> btop++ v.1.2.13
2023/07/26 (03:33:56) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:35:23) | ===> btop++ v.1.2.13
2023/07/26 (03:35:23) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:36:08) | ===> btop++ v.1.2.13
2023/07/26 (03:36:08) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:36:26) | ===> btop++ v.1.2.13
2023/07/26 (03:36:26) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (03:36:42) | ===> btop++ v.1.2.13
2023/07/26 (03:36:42) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (17:58:39) | ===> btop++ v.1.2.13
2023/07/26 (17:58:39) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (18:00:41) | ===> btop++ v.1.2.13
2023/07/26 (18:00:41) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (18:03:50) | ===> btop++ v.1.2.13
2023/07/26 (18:03:50) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (19:57:43) | ===> btop++ v.1.2.13
2023/07/26 (19:57:43) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (20:45:08) | ===> btop++ v.1.2.13
2023/07/26 (20:45:08) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (21:35:29) | ===> btop++ v.1.2.13
2023/07/26 (21:35:29) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/26 (22:16:46) | ===> btop++ v.1.2.13
2023/07/26 (22:16:46) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/27 (01:18:52) | ===> btop++ v.1.2.13
2023/07/27 (01:18:52) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/27 (09:25:33) | ===> btop++ v.1.2.13
2023/07/27 (09:25:33) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/28 (01:34:15) | ===> btop++ v.1.2.13
2023/07/28 (01:34:15) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/30 (00:03:41) | ===> btop++ v.1.2.13
2023/07/30 (00:03:41) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/30 (00:14:33) | ===> btop++ v.1.2.13
2023/07/30 (00:14:33) | ERROR: Invalid size of hex value: CC1E1E2E

2023/07/30 (00:14:35) | ===> btop++ v.1.2.13
2023/07/30 (00:14:35) | ERROR: Invalid size of hex value: CC1E1E2E

2023/08/03 (23:44:38) | ===> btop++ v.1.2.13
2023/08/03 (23:44:38) | ERROR: Invalid size of hex value: CC1E1E2E

2023/08/04 (00:14:59) | ===> btop++ v.1.2.13
2023/08/04 (00:14:59) | ERROR: Invalid size of hex value: CC1E1E2E

2023/09/28 (09:10:50) | ===> btop++ v.1.2.13
2023/09/28 (09:10:50) | ERROR: Invalid size of hex value: CC1E1E2E

2023/11/06 (16:27:04) | ===> btop++ v.1.2.13
2023/11/06 (16:27:04) | ERROR: Invalid size of hex value: CC1E1E2E

2023/11/30 (00:55:47) | ===> btop++ v.1.2.13
2023/11/30 (00:55:47) | ERROR: Invalid size of hex value: CC1E1E2E
